set,clock,dbm,RSSI,attack
80,1221.35,22,35,0
80,1224.18,23,38,0
80,1227.47,24,34,0
81,1231.41,14,44,0
81,1232.78,17,40,0
81,1235.11,20,34,0
81,1236.3,22,35,0
81,1239.02,23,39,0
81,1243,24,34,0
82,1246.83,14,44,0
82,1250.66,17,40,0
82,1253.69,20,34,0
82,1255.77,22,34,0
82,1259.11,23,40,0
82,1260.32,24,38,0
83,1263.15,14,43,0
83,1264.83,17,38,0
83,1268.61,20,34,0
83,1270.47,22,35,0
83,1271.78,23,41,0
83,1274.34,24,33,0
84,1275.96,14,44,0
84,1278.96,17,35,0
84,1281.59,20,44,0
84,1283.68,22,34,0
84,1286.36,23,38,0
84,1289.16,24,33,0
85,1291.53,14,44,0
85,1294,17,38,0
85,1296.51,20,34,0
85,1299.11,22,35,0
85,1300.91,23,39,0
85,1303.04,24,34,0
86,1304.49,14,44,0
86,1305.62,17,39,0
86,1307.07,20,33,0
86,1308.96,22,35,0
86,1310.1,23,35,0
86,1311.42,24,34,0
87,1313.49,14,44,0
87,1315.47,17,38,0
87,1317.48,20,34,0
87,1318.66,22,35,0
87,1321.31,23,34,0
87,1323.33,24,34,0
88,1326.24,14,43,0
88,1327.39,17,38,0
88,1330.02,20,33,0
88,1331.89,22,37,0
88,1333.34,23,34,0
88,1335.05,24,34,0
89,1337.42,14,44,0
89,1339.14,17,43,0
89,1341.5,20,34,0
89,1344.27,22,34,0
89,1345.8,23,35,0
89,1347.81,24,33,0
90,1350.3,14,44,0
90,1352.16,17,38,0
90,1354.34,20,34,0
90,1356.99,22,34,0
90,1359.31,23,35,0
90,1360.67,24,33,0
91,1363.23,14,43,0
91,1365.28,17,37,0
91,1367.35,20,34,0
91,1369.43,22,40,0
91,1371.58,23,37,0
91,1373.83,24,35,0
92,1375.39,14,44,0
92,1376.5,17,39,0
92,1378.74,20,34,0
92,1380.67,22,34,0
92,1384.62,23,35,0
92,1386.67,24,36,0
93,1389.52,14,40,0
93,1392.64,17,38,0
93,1394.51,20,33,0
93,1398.26,22,37,0
93,1400.11,23,35,0
93,1402,24,37,0
94,1403.12,14,37,0
94,1406.45,17,34,0
94,1408.89,20,34,0
94,1410.45,22,34,0
94,1411.47,23,35,0
94,1414.19,24,34,0
95,1417.12,14,39,0
95,1419.17,17,43,0
95,1420.6,20,33,0
95,1424.04,22,41,0
95,1427.34,23,35,0
95,1428.63,24,36,0
96,1429.96,14,39,0
96,1432.39,17,37,0
96,1435.16,20,32,0
96,1438.01,22,35,0
96,1441.8,23,35,0
96,1444.48,24,37,0
97,1447.1,14,39,0
97,1450.6,17,37,0
97,1453.4,20,33,0
97,1456.19,22,36,0
97,1459.88,23,35,0
97,1462.71,24,33,0
98,1464.57,14,40,0
98,1468.33,17,36,0
98,1471.87,20,34,0
98,1474.26,22,37,0
98,1475.83,23,34,0
98,1478.18,24,32,0
99,1481.06,14,40,0
99,1483.69,17,40,0
99,1485.83,20,33,0
99,1488.58,22,35,0
99,1492.11,23,35,0
99,1496.06,24,33,0
100,1497.33,14,43,0
100,1500.03,17,36,0
100,1502,20,34,0
100,1505.47,22,35,0
100,1509.18,23,35,0
100,1511.95,24,33,0
101,1515.88,14,40,0
