set,clock,dbm,rssi,attack
130,1920.44,14,37,0
130,1923.46,17,37,0
130,1924.86,20,35,0
130,1927.45,22,33,0
130,1929.84,23,33,0
130,1933.8,24,30,0
131,1936,14,36,0
131,1939.7,17,37,0
131,1941.76,20,37,0
131,1943.37,22,33,0
131,1945.8,23,35,0
131,1949.47,24,34,0
132,1951.02,14,36,0
132,1954.31,17,40,0
132,1956.56,20,35,0
132,1957.93,22,34,0
132,1960.6,23,32,0
132,1964.26,24,31,0
133,1967.53,14,37,0
133,1971.29,17,38,0
133,1973.7,20,32,0
133,1976.59,22,34,0
133,1979.19,23,33,0
133,1981.21,24,29,0
134,1982.77,14,35,0
134,1984.22,17,39,0
134,1985.96,20,34,0
134,1987.29,22,34,0
134,1991.2,23,33,0
134,1993.08,24,31,0
135,1995.2,14,34,0
135,1998.44,17,38,0
135,2001.15,20,36,0
135,2003.08,22,34,0
135,2006.9,23,32,0
135,2008.2,24,28,0
136,2009.4,14,34,0
136,2010.96,17,36,0
136,2012.22,20,34,0
136,2015.32,22,34,0
136,2016.45,23,32,0
136,2019.47,24,31,0
137,2021.49,14,35,0
137,2022.91,17,36,0
137,2025.43,20,34,0
137,2028.92,22,34,0
137,2031.57,23,37,0
137,2035.21,24,29,0
138,2036.33,14,34,0
138,2040.2,17,36,0
138,2042.65,20,34,0
138,2045.4,22,34,0
138,2047.72,23,33,0
138,2049.1,24,32,0
139,2052.28,14,36,0
139,2054.24,17,35,0
139,2056.64,20,31,0
139,2058.85,22,34,0
139,2061.8,23,32,0
139,2063.98,24,32,0
140,2065.42,14,34,0
140,2068.15,17,37,0
140,2071.16,20,35,0
140,2073.96,22,34,0
140,2076.93,23,30,0
140,2079.46,24,32,0
141,2081.62,14,35,0
141,2082.87,17,37,0
141,2086.59,20,33,0
141,2089.59,22,34,0
141,2093.17,23,34,0
141,2096.16,24,29,0
142,2100.01,14,35,0
142,2103.98,17,38,0
142,2107.41,20,34,0
142,2110.97,22,34,0
142,2112.57,23,32,0
142,2113.93,24,28,0
143,2115.9,14,36,0
143,2118.85,17,38,0
143,2122.66,20,34,0
143,2126.38,22,33,0
143,2128.52,23,34,0
143,2132.08,24,29,0
