set,clock,dbm,rssi,attack
141,2110.26,20,33,0
141,2113.70,22,33,0
141,2116.40,23,31,0
141,2119.97,24,32,0
142,2123.69,14,36,0
142,2124.83,17,34,0
142,2127.87,20,34,0
142,2129.86,22,35,0
142,2131.62,23,35,0
142,2133.42,24,28,0
143,2136.73,14,37,0
143,2140.54,17,34,0
143,2143.13,20,33,0
143,2146.25,22,30,0
143,2147.46,23,32,0
143,2149.77,24,29,0
144,2151.19,14,35,0
144,2153.18,17,34,0
144,2156.90,20,31,0
144,2158.70,22,29,0
144,2161.72,23,33,0
144,2163.76,24,29,0
145,2166.36,14,36,0
145,2169.95,17,33,0
145,2171.56,20,34,0
145,2175.32,22,31,0
145,2178.47,23,30,0
145,2179.47,24,29,0
146,2182.23,14,36,0
146,2183.23,17,34,0
146,2184.43,20,34,0
146,2186.36,22,34,0
146,2189.60,23,31,0
146,2193.35,24,27,0
147,2197.01,14,36,0
147,2200.73,17,33,0
147,2202.02,20,34,0
147,2204.39,22,34,0
147,2206.72,23,33,0
147,2209.96,24,34,0
148,2211.78,14,36,0
148,2215.51,17,33,0
148,2217.79,20,36,0
148,2219.83,22,34,0
148,2222.95,23,34,0
148,2224.08,24,30,0
149,2225.13,14,35,0
149,2226.43,17,36,0
149,2230.04,20,32,0
149,2232.09,22,33,0
149,2234.02,23,33,0
149,2236.77,24,30,0
150,2239.98,14,36,0
150,2242.90,17,36,0
150,2244.11,20,32,0
150,2247.51,22,33,0
150,2251.43,23,30,0
150,2254.68,24,27,0
151,2257.23,14,37,0
151,2258.95,17,34,0
151,2260.13,20,30,0
151,2261.99,22,34,0
151,2265.21,23,34,0
151,2267.17,24,28,0
152,2269.86,14,36,0
152,2273.13,17,33,0
152,2275.40,20,32,0
152,2278.60,22,34,0
152,2282.02,23,30,0
152,2283.34,24,27,0
153,2286.68,14,36,0
153,2288.80,17,33,0
153,2292.05,20,32,0
153,2294.68,22,33,0
153,2296.08,23,32,0
153,2298.07,24,30,0
154,2301.35,14,36,0
154,2303.50,17,36,0
154,2306.43,20,33,0
154,2308.02,22,33,0
154,2311.47,23,32,0
154,2314.90,24,30,0
155,2315.96,14,36,0
155,2317.58,17,33,0
155,2321.43,20,34,0
155,2324.75,22,34,0
155,2327.02,23,30,0
155,2328.22,24,27,0
156,2329.81,14,36,0
156,2331.16,17,33,0
156,2334.21,20,36,0
156,2337.39,22,36,0
156,2338.97,23,31,0
156,2341.83,24,29,0
